,country,population,hospital capacity
0,Afghanistan,34656032,17328.016
1,Albania,2876101,8340.6929
2,Algeria,40606052,77151.4988
3,Andorra,77281,193.2025
4,Angola,28813463,23050.7704
5,Antigua and Barbuda,100963,383.6594
6,Argentina,43847430,219237.15
7,Armenia,2924816,12284.2272
8,Australia,24127159,91683.2042
9,Austria,8747358,66479.9208
10,Azerbaijan,9762274,45882.6878
11,Bahamas,391232,1134.5728
12,Bahrain,1425171,2850.342
13,Bangladesh,162951560,130361.248
14,Barbados,284996,1652.9768
15,Belarus,9507120,104578.32
16,Belgium,11348159,70358.5858
17,Benin,10872298,5436.149
18,Bhutan,797765,1356.2005
19,Bolivia,10887882,11976.6702
20,Bosnia and Herzegovina,3516816,12308.856
21,Brazil,207652865,456836.303
22,Brunei,423196,1142.6292
23,Bulgaria,7127822,48469.1896
24,Burkina Faso,18646433,7458.5732
25,Cabo Verde,539560,1133.076
26,Cambodia,15762370,12609.896
27,Cameroon,23439189,30470.9457
28,Canada,36286425,97973.3475
29,Central African Republic,4594621,4594.621
30,Chad,14452543,5781.0172
31,Chile,17909754,39401.4588
32,China,1378665000,5790393
33,Colombia,48653419,72980.1285
34,Congo (Brazzaville),5125821,8201.3136
35,Congo (Kinshasa),78736153,62988.9224
36,Costa Rica,4857274,5828.7288
37,Cote d'Ivoire,23695919,9478.3676
38,Croatia,4170600,23355.36
40,Cuba,11475982,59675.1064
41,Cyprus,1170125,3978.425
42,Czechia,10561633,68650.6145
43,Denmark,5731118,14327.795
44,Djibouti,942333,1319.2662
45,Dominican Republic,10648791,17038.0656
46,Ecuador,16385068,24577.602
47,Egypt,95688681,153101.8896
48,El Salvador,6344722,8248.1386
49,Equatorial Guinea,1221490,2565.129
50,Eritrea,3200000,2240
51,Estonia,1316481,6582.405
52,Eswatini,1343098,2820.5058
53,Ethiopia,102403196,30720.9588
54,Fiji,898760,2067.148
55,Finland,5495096,24178.4224
56,France,66896109,434824.7085
57,Gabon,1979786,12472.6518
58,Gambia,2038501,2242.3511
59,Georgia,3719300,9670.18
60,Germany,82667685,686141.7855
61,Ghana,28206728,25386.0552
62,Greece,10746740,46210.982
63,Guatemala,16582469,9949.4814
64,Guinea,12395924,3718.7772
65,Guyana,773303,1237.2848
66,Haiti,10847334,7593.1338
68,Honduras,9112867,6379.0069
69,Hungary,9817958,68725.706
70,Iceland,334252,1069.6064
71,India,1324171354,926919.9478
72,Indonesia,261115456,313338.5472
73,Iran,80277428,120416.142
74,Iraq,37202572,52083.6008
75,Ireland,4773095,13364.666
76,Israel,8547100,26496.01
77,Italy,60600590,206042.006
78,Jamaica,2881355,4898.3035
79,Japan,126994511,1701726.4474
80,Jordan,9455802,13238.1228
81,Kazakhstan,17797032,119240.1144
82,Kenya,48461567,67846.1938
83,"Korea, South",51245707,589325.6305
84,Kuwait,4052584,8105.168
85,Kyrgyzstan,6082700,27372.15
86,Latvia,1960424,11370.4592
87,Lebanon,6006668,17419.3372
88,Liberia,4613823,3691.0584
89,Liechtenstein,37666,90.3984
90,Lithuania,2872298,20967.7754
91,Luxembourg,582972,2798.2656
92,Madagascar,24894551,4978.9102
93,Malaysia,31187265,59255.8035
94,Maldives,417492,1795.2156
95,Malta,436947,2053.6509
96,Mauritania,4301018,1720.4072
97,Mauritius,1263473,4295.8082
98,Mexico,127540423,191310.6345
99,Moldova,3552000,20601.6
100,Monaco,38499,531.2862
101,Mongolia,3027398,21191.786
102,Montenegro,622781,2491.124
103,Morocco,35276786,38804.4646
104,Namibia,2479713,6695.2251
105,Nepal,28982771,8694.8313
106,Netherlands,17018408,79986.5176
107,New Zealand,4692700,13139.56
108,Nicaragua,6149928,5534.9352
109,Niger,20672987,6201.8961
110,Nigeria,185989640,92994.82
111,North Macedonia,2081206,9157.3064
112,Norway,5232929,20408.4231
113,Oman,4424762,7079.6192
114,Pakistan,193203476,115922.0856
115,Panama,4034119,9278.4737
116,Papua New Guinea,8084991,32535.6204798213
117,Paraguay,6725308,8742.9004
118,Peru,31773839,50838.1424
119,Philippines,103320222,103320.222
120,Poland,37948016,246662.104
121,Portugal,10324611,35103.6774
122,Qatar,2569804,3083.7648
123,Romania,19705301,124143.3963
124,Russia,144342396,1183607.6472
125,Rwanda,11917508,19068.0128
126,Saint Lucia,178015,231.4195
127,Saint Vincent and the Grenadines,109643,285.0718
128,San Marino,33203,126.1714
129,Saudi Arabia,32275687,87144.3549
130,Senegal,15411614,4623.4842
131,Serbia,7057412,40227.2484
132,Seychelles,94677,340.8372
133,Singapore,5607283,13457.4792
134,Slovakia,5428704,31486.4832
135,Slovenia,2064845,9498.287
136,Somalia,14317996,12886.1964
137,South Africa,55908865,156544.822
138,Spain,46443959,139331.877
139,Sri Lanka,21203000,76330.8
140,Sudan,39578828,31663.0624
141,Suriname,558368,1730.9408
142,Sweden,9903122,25748.1172
143,Switzerland,8372098,39348.8606
144,Taiwan*,23800000,166600
145,Tanzania,55572201,38900.5407
146,Thailand,68863514,144613.3794
147,Togo,7606374,5324.4618
148,Trinidad and Tobago,1364962,4094.886
149,Tunisia,11403248,26227.4704
150,Turkey,79512426,214683.5502
151,Uganda,41487965,20743.9825
152,Ukraine,45004645,396040.876
153,United Arab Emirates,9269612,11123.5344
154,United Kingdom,65637239,183784.2692
155,Uruguay,3444006,9643.2168
156,US,323127513,937069.7877
157,Uzbekistan,31848200,127392.8
158,Venezuela,31568179,25254.5432
159,Vietnam,92701100,241022.86
160,Zambia,16591390,33182.78
161,Zimbabwe,16150362,27455.6154
162,Dominica,73543,279.4634
163,Grenada,107317,397.0729
164,Mozambique,28829476,20180.6332
165,Syria,18430453,27645.6795
166,Timor-Leste,1268671,7485.1589
167,Belize,366954,477.0402
168,Laos,6758353,10137.5295
169,Libya,6293253,23285.0361
170,West Bank and Gaza,4551566,5461.8794171097
171,Guinea-Bissau,1815698,1815.698
172,Mali,17994837,1799.4837
173,Saint Kitts and Nevis,54821,126.0883
174,Kosovo,1816200,5266.98
175,Burma,52885223,47596.7007
177,Botswana,2250260,4050.468
178,Burundi,10524117,8419.2936
179,Sierra Leone,7396190,2958.476
180,Malawi,18091575,23519.0475
181,South Sudan,12230730,9784.584
182,Western Sahara,500000,250
183,Sao Tome and Principe,199910,579.739
184,Yemen,27584213,19308.9491
